# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/home/ngs-01/ngs1_project/sample_data/chr22_with_ERCC92.gtf" "-g" "gene_name" "-o" "counts.txt" "/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_001.sorted.bam" "/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_002.sorted.bam" "/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_003.sorted.bam" "/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_004.sorted.bam" "/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_005.sorted.bam" "/home/ngs-01/ngs1_project/hisat_align/shuffeled_hisatAlign1.sorted.bam" "/home/ngs-01/ngs1_project/hisat_align/shuffeled_hisatAlign2.sorted.bam" "/home/ngs-01/ngs1_project/hisat_align/shuffeled_hisatAlign3.sorted.bam" "/home/ngs-01/ngs1_project/hisat_align/shuffeled_hisatAlign4.sorted.bam" "/home/ngs-01/ngs1_project/hisat_align/shuffeled_hisatAlign5.sorted.bam" 
Geneid	/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_001.sorted.bam	/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_002.sorted.bam	/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_003.sorted.bam	/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_004.sorted.bam	/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_005.sorted.bam	/home/ngs-01/ngs1_project/hisat_align/shuffeled_hisatAlign1.sorted.bam
U2	0	0	0	0	0	0
FRG1FP	0	0	0	0	0	48
CU104787.1	0	0	0	0	0	0
BAGE5	0	0	0	0	0	0
ACTR3BP6	0	0	0	0	0	0
5_8S_rRNA	0	0	0	0	0	0
FRG1GP	0	0	0	0	0	4
U6	0	0	0	0	0	0
LA16c-60D12.1	0	0	0	0	0	0
LA16c-13E4.3	0	0	0	0	0	0
LA16c-60D12.2	0	0	0	0	0	0
ZNF72P	0	0	0	0	0	0
BNIP3P2	0	0	0	0	0	0
YME1L1P1	0	0	0	0	0	0
OR11H1	0	0	0	0	0	0
LA16c-60G3.6	0	0	0	0	0	0
ARHGAP42P3	0	0	0	0	0	0
LA16c-23H5.4	0	0	0	0	0	0
LA16c-60G3.8	0	0	0	0	0	64
LA16c-60G3.7	0	0	0	0	0	3
LA16c-60G3.5	0	0	0	0	0	0
LA16c-2F2.8	0	0	0	0	0	0
NEK2P2	0	0	0	0	0	3
LA16c-2F2.5	0	0	0	0	0	0
NF1P6	0	0	0	0	0	2
MED15P7	0	0	0	0	0	0
POTEH	0	0	0	0	0	0
POTEH-AS1	0	0	0	0	0	0
RNU6-816P	0	0	0	0	0	0
LA16c-3G11.7	0	0	0	0	0	756
LINC01297	0	0	0	0	0	0
GRAMD4P2	0	0	0	0	0	0
DUXAP8	0	0	0	0	0	10
LL22NC03-N64E9.1	0	0	0	0	0	3
BMS1P22	0	0	0	0	0	0
LL22NC03-N14H11.1	0	0	0	0	0	0
NBEAP3	0	0	0	0	0	5
LA16c-60H5.7	0	0	0	0	0	87
LA16c-4G1.4	0	0	0	0	0	0
LA16c-4G1.3	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	2
LA16c-17H1.3	0	0	0	0	0	7
PABPC1P9	0	0	0	0	0	0
SLC9B1P4	0	0	0	0	0	1
ACTR3BP2	0	0	0	0	0	0
CHEK2P4	0	0	0	0	0	0
KB-67B5.17	0	0	0	0	0	0
KB-67B5.12	0	0	0	0	0	5
KCNMB3P1	0	0	0	0	0	4
CCT8L2	0	0	0	0	0	0
FABP5P11	0	0	0	0	0	131
TPTEP1	0	0	0	0	0	0
AC005301.9	0	0	0	0	0	0
KB-7G2.9	0	0	0	0	0	0
SLC25A15P5	0	0	0	0	0	2
PARP4P3	0	0	0	0	0	0
ANKRD62P1-PARP4P3	0	0	0	0	0	0
ANKRD62P1	0	0	0	0	0	0
KB-7G2.8	0	0	0	0	0	0
VWFP1	0	0	0	0	0	1524
AC005301.8	0	0	0	0	0	0
XKR3	0	0	0	0	0	0
HSFY1P1	0	0	0	0	0	0
GPM6BP3	0	0	0	0	0	0
AC007064.29	0	0	0	0	0	0
AC007064.22	0	0	0	0	0	0
ZNF402P	0	0	0	0	0	10
AC007064.24	0	0	0	0	0	0
MTND1P17	0	0	0	0	0	0
AC007064.25	0	0	0	0	0	0
AC006548.19	0	0	0	0	0	1
IGKV1OR22-5	0	0	0	0	0	0
IGKV2OR22-4	0	0	0	0	0	0
IGKV2OR22-3	0	0	0	0	0	0
IGKV3OR22-2	0	0	0	0	0	0
IGKV1OR22-1	0	0	0	0	0	0
AC006548.28	0	0	0	0	0	0
GAB4	0	0	0	0	0	0
AC006548.26	0	0	0	0	0	0
VN1R9P	0	0	0	0	0	0
CECR7	0	0	0	0	0	2
AC006946.16	0	0	0	0	0	0
AC006946.17	0	0	0	0	0	0
IL17RA	0	0	0	0	0	101
AC006946.12	0	0	0	0	0	0
CECR6	0	0	0	0	0	2
AC006946.15	0	0	0	0	0	0
CECR5	0	0	0	0	0	46
CECR5-AS1	0	0	0	0	0	0
CECR1	0	0	0	0	0	0
AC005300.5	0	0	0	0	0	0
FAM32BP	0	0	0	0	0	1
CECR3	0	0	0	0	0	0
